winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
Nic Tartaglia,Montepulciano d'Abruzzo,2021,15.95,4.3,Italia,2,"Ternera, Ternera lechal, Cerdo, Pasta",//images.vivino.com/thumbs/2ZWsmHO_SEqO6AF39ExL1g_pb_x600.png,6,Italiano de Montepulciano d'Abruzzo,14.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Bodegas San Román,San Román,2021,29.75,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/EqAI-UxvRJ6NqUNa-EoorA_pb_x600.png,5,Toro Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodega Tesalia,Arcos de la Frontera,2020,28.35,4.3,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/XPF6R6fKQAiBEd2KksZ1hA_pb_x600.png,5,Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Roda,Roda I Reserva Rioja,2019,49.95,4.3,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/eSpEF0UnQtCbEx1397DMlQ_pb_x600.png,4,Rioja Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Epifanio Rivera,Erial Tradición Familia,2022,24.95,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/O95MyYJ9RN6CMiG1IlcILg_pb_x600.png,5,Ribera del Duero Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Áster,Finca El Otero,2019,52.0,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/jDVJ-PKjRJ-NexoqZid1hg_pb_x600.png,4,Ribera del Duero Tinto (España),15.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
R. López de Heredia,Viña Tondonia Reserva,2012,31.5,4.3,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/HqJLl3DxTtOI_0WoDXT7_Q_pb_x600.png,5,Rioja Tinto (España),13.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Benjamin de Rothschild - Vega Sicilia,Macán Clásico,2020,44.3,4.3,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/Yl43WE7dTcmc_MGpy5zt0g_pb_x600.png,4,Rioja Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Pazo de Rubianes,Albariño,2023,17.78,4.3,España,1,"Marisco, Vegetariana, Pasta, Aperitivos y tentempiés, Pescado blanco",//images.vivino.com/thumbs/Yjh6akOcReSq8Sfu2GceqQ_pb_x600.png,5,Albariño (España),13.5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ausàs,Interpretación,2020,46.9,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/BEHyVRLwS46TL2QiBUCmHg_pb_x600.png,4,Ribera del Duero Tinto (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
